time,open,high,low,close,Volume
1641306600,402.24,402.28,393.288,396.47,58027206
1641393000,394.74,395.89,384.03,384.29,75739847
1641479400,382.42,387.35,380.13,384.02,70814324
1641565800,384.03,385.76,378.04,379.86,72652304
1641825000,374.82,380.64,369.31,380.11,91770497
1641911400,379.355,385.9899,377.2182,385.82,68295698
1641997800,388.46,390.2,385.01,387.35,54576366
1642084200,388.77,389.47,376.7,377.66,77993962
1642170600,375.07,380.35,374.86,380.01,80121210
1642516200,374.04,376.22,369.7704,370.55,75812296
1642602600,372.15,374.69,366.21,366.48,81791482
1642689000,369.79,373.87,361.17,361.72,88610680
1642775400,359.47,362.18,351.4,351.69,143388920
1643034600,345.905,353.98,334.15,353.3,199448109
1643121000,346.67,351.0295,341.68,345.11,124398394
1643207400,352.91,356.88,340.78,344.57,146559524
1643293800,349.4,351.27,340.05,341.1,95255656
1643380200,343.03,352.02,337.95,351.8,108167897
1643639400,353.2,363.65,351.52,363.05,94326389
1643725800,364.43,366.19,359.14,365.52,74433023
1643812200,369.76,370.1,364.285,368.49,78777135
1643898600,358.53,361.93,352.46,353.55,95384771
1643985000,354.08,361.4,351.97,358.01,86318301
1644244200,358.62,361.05,353.84,355.13,58198087
1644330600,353.96,360.24,352.8,359.12,64720897
1644417000,363.76,366.81,362.12,366.73,55766422
1644503400,359.52,366.4885,356.54,358.43,112468483
1644589800,358.43,360.07,345.8,347.06,101569102
1644849000,346.49,350.98,343.89,347.49,80254439
1644935400,352.91,356.37,351.82,356.13,55390805
1645021800,353.82,357.0896,350.71,356.04,58947086
1645108200,352.74,353.46,345.02,345.45,61801353
1645194600,346.41,346.81,339.14,341.51,80001513
1645540200,338.49,344.04,334.35,338.08,85967095
1645626600,341.32,342.183,329.1,329.42,86215371
1645713000,318.84,341.04,318.26,340.49,130614053
1645799400,341.31,345.98,337.39,345.77,78842088
1646058600,342.51,348.54,341.32,346.8,77515544
1646145000,345.75,348.078,338.9,341.49,67407000
1646231400,343.08,348.59,340.24,347.22,70609015
1646317800,349.93,350.04,340.35,342.26,71089385
1646404200,339.84,341.31,334.92,337.3,77009763
1646663400,337.29,338.48,324.65,324.86,89933794
1646749800,324.05,333.21,319.94,323.35,116153921
1646836200,331.75,336.38,329.09,334.99,64723366
1646922600,330.82,332.51,326.71,331.27,69362714
1647009000,334.32,334.64,323.9,324.4,66228432
1647264600,323.13,326.59,317.45,318.17,79802606
